DATE,home_prices
1/1/2000,100.552
1/2/2000,101.339
1/3/2000,102.127
1/4/2000,102.922
1/5/2000,103.677
1/6/2000,104.424
1/7/2000,105.054
1/8/2000,105.768
1/9/2000,106.537
1/10/2000,107.381
1/11/2000,108.3
1/12/2000,109.138
1/1/2001,109.846
1/2/2001,110.501
1/3/2001,111.108
1/4/2001,111.65
1/5/2001,112.162
1/6/2001,112.795
1/7/2001,113.491
1/8/2001,114.167
1/9/2001,114.81
1/10/2001,115.308
1/11/2001,115.854
1/12/2001,116.451
1/1/2002,117.143
1/2/2002,117.844
1/3/2002,118.687
1/4/2002,119.611
1/5/2002,120.724
1/6/2002,121.812
1/7/2002,122.886
1/8/2002,123.83
1/9/2002,124.778
1/10/2002,125.733
1/11/2002,126.668
1/12/2002,127.622
1/1/2003,128.46
1/2/2003,129.355
1/3/2003,130.148
1/4/2003,130.884
1/5/2003,131.735
1/6/2003,132.649
1/7/2003,133.776
1/8/2003,134.967
1/9/2003,136.294
1/10/2003,137.532
1/11/2003,138.794
1/12/2003,140.18
1/1/2004,141.648
1/2/2004,143.193
1/3/2004,145.059
1/4/2004,146.592
1/5/2004,148.184
1/6/2004,149.848
1/7/2004,151.336
1/8/2004,152.632
1/9/2004,154.178
1/10/2004,155.75
1/11/2004,157.527
1/12/2004,159.329
1/1/2005,161.287
1/2/2005,163.343
1/3/2005,165.812
1/4/2005,167.501
1/5/2005,169.351
1/6/2005,171.19
1/7/2005,172.859
1/8/2005,174.442
1/9/2005,176.437
1/10/2005,178.028
1/11/2005,179.682
1/12/2005,180.911
1/1/2006,182.321
1/2/2006,183.288
1/3/2006,184.364
1/4/2006,184.33
1/5/2006,184.157
1/6/2006,183.509
1/7/2006,183.068
1/8/2006,182.596
1/9/2006,182.8
1/10/2006,183.201
1/11/2006,183.612
1/12/2006,184.141
1/1/2007,184.519
1/2/2007,184.6
1/3/2007,184.151
1/4/2007,183.011
1/5/2007,181.602
1/6/2007,180.256
1/7/2007,179.114
1/8/2007,178.12
1/9/2007,177.561
1/10/2007,176.626
1/11/2007,175.148
1/12/2007,174.342
1/1/2008,173.133
1/2/2008,171.542
1/3/2008,170.053
1/4/2008,168.338
1/5/2008,166.659
1/6/2008,165.019
1/7/2008,163.57
1/8/2008,161.991
1/9/2008,160.311
1/10/2008,158.329
1/11/2008,156.142
1/12/2008,153.618
1/1/2009,151.504
1/2/2009,150.011
1/3/2009,148.657
1/4/2009,147.947
1/5/2009,147.693
1/6/2009,148.088
1/7/2009,148.409
1/8/2009,148.275
1/9/2009,148.023
1/10/2009,147.849
1/11/2009,148.135
1/12/2009,147.929
1/1/2010,147.395
1/2/2010,145.63
1/3/2010,145.858
1/4/2010,146.401
1/5/2010,146.392
1/6/2010,145.719
1/7/2010,144.989
1/8/2010,143.912
1/9/2010,143.015
1/10/2010,142.527
1/11/2010,142.172
1/12/2010,142.064
1/1/2011,141.528
1/2/2011,140.358
1/3/2011,139.986
1/4/2011,140.011
1/5/2011,139.904
1/6/2011,139.861
1/7/2011,139.732
1/8/2011,139.309
1/9/2011,138.669
1/10/2011,137.953
1/11/2011,137.152
1/12/2011,136.674
1/1/2012,136.608
1/2/2012,136.534
1/3/2012,137.908
1/4/2012,139.16
1/5/2012,140.16
1/6/2012,141.034
1/7/2012,141.673
1/8/2012,142.282
1/9/2012,142.911
1/10/2012,143.603
1/11/2012,144.586
1/12/2012,145.502
1/1/2013,146.835
1/2/2013,147.784
1/3/2013,149.966
1/4/2013,151.525
1/5/2013,152.861
1/6/2013,154.207
1/7/2013,155.617
1/8/2013,156.98
1/9/2013,158.239
1/10/2013,159.252
1/11/2013,160.082
1/12/2013,161.001
1/1/2014,161.948
1/2/2014,162.533
1/3/2014,163.097
1/4/2014,163.407
1/5/2014,163.674
1/6/2014,164.068
1/7/2014,164.587
1/8/2014,165.224
1/9/2014,165.918
1/10/2014,166.655
1/11/2014,167.348
1/12/2014,168.066
1/1/2015,168.67
1/2/2015,169.154
1/3/2015,169.83
1/4/2015,170.328
1/5/2015,170.907
1/6/2015,171.485
1/7/2015,172.158
1/8/2015,172.961
1/9/2015,173.856
1/10/2015,174.819
1/11/2015,175.761
1/12/2015,176.557
1/1/2016,177.292
1/2/2016,177.661
1/3/2016,178.194
1/4/2016,178.814
1/5/2016,179.484
1/6/2016,180.135
1/7/2016,180.895
1/8/2016,181.905
1/9/2016,182.872
1/10/2016,183.782
1/11/2016,184.761
1/12/2016,185.692
1/1/2017,186.78
1/2/2017,187.306
1/3/2017,188.051
1/4/2017,188.833
1/5/2017,189.742
1/6/2017,190.628
1/7/2017,191.576
1/8/2017,192.797
1/9/2017,193.849
1/10/2017,194.816
1/11/2017,195.881
1/12/2017,197.029
1/1/2018,198.159
1/2/2018,199.136
1/3/2018,200.067
1/4/2018,200.901
1/5/2018,201.7
1/6/2018,202.483
1/7/2018,203.124
1/8/2018,203.891
1/9/2018,204.456
1/10/2018,205.053
1/11/2018,205.465
1/12/2018,205.823
1/1/2019,206.199
1/2/2019,206.653
1/3/2019,207.277
1/4/2019,207.981
1/5/2019,208.647
1/6/2019,209.114
1/7/2019,209.653
1/8/2019,210.396
1/9/2019,211.053
1/10/2019,211.653
1/11/2019,212.457
1/12/2019,213.37
1/1/2020,214.387
1/2/2020,215.462
1/3/2020,216.715
1/4/2020,217.554
1/5/2020,217.81
1/6/2020,218.356
1/7/2020,219.899
1/8/2020,222.735
1/9/2020,225.954
1/10/2020,229.442
1/11/2020,232.656
1/12/2020,235.583
